epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.912134,2.79697,7.08556,1.34802,0,0,0,0,2.76415,5.83252,1.55648,0,0,0
2,1.53208,2.52143,9.17387,1.49538,0,0,0,0,2.7308,5.83214,1.51894,8.16507e-06,8.16507e-06,8.16507e-06
3,2.15737,2.7013,15.4212,1.55525,0,0,0,0,2.70594,5.79611,1.48314,1.60003e-05,1.60003e-05,1.60003e-05
4,2.77113,2.41229,7.18287,1.27548,0,0,0,0,2.68511,5.79604,1.45458,2.35056e-05,2.35056e-05,2.35056e-05
5,3.53329,1.75836,8.70763,1.51189,0,0,0,0,2.68511,5.79604,1.45458,3.06811e-05,3.06811e-05,3.06811e-05
6,4.24732,1.6021,6.73172,1.31237,0,0,0,0,2.65407,5.80892,1.41352,3.75266e-05,3.75266e-05,3.75266e-05
7,4.83672,3.02365,12.5712,1.13432,0,0,0,0,2.65407,5.80892,1.41352,4.40424e-05,4.40424e-05,4.40424e-05
8,5.54222,2.85395,7.32778,1.59999,0,0,0,0,2.20071,5.5809,1.14636,5.02282e-05,5.02282e-05,5.02282e-05
9,6.27343,2.08531,7.80894,1.3195,0,0,0,0,2.20071,5.5809,1.14636,5.60842e-05,5.60842e-05,5.60842e-05
10,7.07967,2.16352,7.98709,1.25514,0,0,0,0,1.3177,5.59767,0.89531,6.16103e-05,6.16103e-05,6.16103e-05
11,7.93894,1.4268,7.63822,1.0905,0,0,0,0,1.3177,5.59767,0.89531,6.68066e-05,6.68066e-05,6.68066e-05
12,8.72495,2.43772,9.94579,1.38899,0,0,0,0,1.3177,5.59767,0.89531,7.1673e-05,7.1673e-05,7.1673e-05
13,9.47219,1.73598,5.85396,1.02705,0,0,0,0,0.89073,5.34677,0.77036,7.62095e-05,7.62095e-05,7.62095e-05
14,10.1804,1.03604,7.99115,0.85017,0,0,0,0,0.89073,5.34677,0.77036,8.04162e-05,8.04162e-05,8.04162e-05
15,10.9176,1.04747,12.6143,1.00322,0,0,0,0,0.89073,5.34677,0.77036,8.42929e-05,8.42929e-05,8.42929e-05
16,11.9171,1.67355,6.35113,0.89709,0,0,0,0,0.97114,5.31536,0.77732,8.78398e-05,8.78398e-05,8.78398e-05
