Function ID,Function Name
10,3722EC
11,825XX
12,ASM108X
13,BTIDCHK
14,CHKA1314
15,CHKCPUMM
16,CHKGLAN
17,CHKMBINF
18,CHKTIME
19,CHKUFB
1A,CHK_SFIS
1B,CHK_SFIS_1
1C,CHK_UUID_1
1D,CHK_UUID
1E,FT2_CHK_SFIS
1F,FT2_CHK_UUID
1G,HMTEST
1H,M2PCIE3
1I,MELKCHK
1J,MELOCK
1K,METEST
1L,RESET
1M,RTL8111F
1N,RTL8111G
1O,RTL811GR
1P,RTLAUDIO
1Q,SCANMAC
1R,SCANSFIS
1S,TIMESYNC
1T,CHKMAC
1U,WCHILCHK
1V,WCOMCHK
1W,WFTMCHK
1X,WHDD
1Y,WIFICHK
1Z,WMC
20,WPCICHK
21,WPRINT
22,WPS2CHK
23,WQFAN
24,WR_SFIS
25,WR_UUID
26,WRTC
27,WTBTEST
28,WTPMLKTT
29,WTPMTEST
2A,WUSB
2B,WUSB_1
2C,WVIDEO
2D,WDISPLAY
2E,M2Socket
2F,PCIEx1
2G,SATAEXPR
2H,CHK_SIO
2I,RTL8111H
2J,WTPMNCT
2K,SPSTEST
2L,RTLAUDIO_1
2M,CHKCPUF4
2N,CHKUSB31
2O,NctSioKB
2P,Chk_Lang
2Q,WMICTEST
2R,Pause
2S,Pause_1
2T,USB_ASM1143
2U,LEDTEST
2V,ScanBarC_TDCSCR
2W,CUST
2X,CUST_1
2Y,CUST_2
2Z,HM_CHKCPUF3
30,HM_CHKROG
31,LAN_INTELLAN
32,LAN_INTELLAN_1
33,ENFTM
34,LEDCHECK
35,USB_ASM1142
36,RTLSPK
37,USB_ASM2142
38,WTCMTEST
39,M2GPIO
3A,WAOA
3B,CPUSENSE
3C,TTFFAIL
3D,CHK_CPUID
3E,CHK_PCIE
3F,SCANMAC_2
3G,Wr_MAC_2
3H,WVIDEO_NEW
3I,MiniCard
3J,DisPowerBtn
3K,CUST_3
3L,CUST_4
3M,CUST_5
3N,CUST_6
3O,CUST_7
3P,CUST_8
3Q,CUST_9
3R,DEVICESCAN
3S,CHKMBINF_2
3T,USB_ASM1342
3U,CHKFLAG
3V,Wr_UUID_2LAN
3W,CHK_HEADERS
3X,USB_ASM1042a
3Y,USB_ASM1074
3Z,CNVI_WIFI
40,Q_CODE
41,TestPowerBtn
42,ChkMemOK
43,ChkOsVer
44,RTL811EP
45,RESETFAIL
46,ChkMonitor
47,TTFINITFAIL
48,AutoTestPowerBtn
49,DISFTM
4A,WVIDEO_2
4B,EATX12V_8Pin
4C,SPI_TPM
4D,TDC_M2_SATA_PICE
4E,TTFEND
4F,CUST_10
4G,CUST_11
4H,CUST_12
4I,CUST_13
4J,CUST_14
4K,CUST_15
4L,CUST_16
4M,CUST_17
4N,CUST_18
4O,CUST_19
4P,DEVICESCAN_1
4Q,PCIEx4
4R,USB_TEST
4S,USB_PANEL
4T,USB_BT
4U,LAN_IntelLoopback
4V,LAN_IntelEeprom
4W,USB_G2X2
4X,USB_TEST_2
4Y,EATX12V_4Pin
4Z,CHKDualBIOS
50,_AsusSignature
51,CMPMAC
52,LAN_RTLLoopback
53,RTL8125BG
54,SCANMAC_n
55,Delay
56,Delay_2
57,DisPowerBtn_2
58,en_beep
59,CHKA1315
5A,F_RTL4080
5B,PLC_FAN
5C,R_RTL4080
5D,TB_header
5E,USB_ASM3142
60,MONO_OUT
61,M2PCIE4
62,USB_TEST_1
63,USB_TEST_2
64,ASM1184E
65,ASM1061
66,ASM3042
67,IT8631E_EX
68,ASM1074
69,RTLAUDIO_1
6A,RTLAUDIO_2
6B,CHASSIS
6C,BUZZER
